"x","y","NEXY$species","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
145.6425953,-17.36319185,"splendida",201.199996948242,58.2000007629395,46,2537,257.399993896484,133,124.400001525879,226.199996948242,189.199996948242,229.199996948242,167,2427.39990234375,443,64.5999984741211,66.8000030517578,1195.40002441406,218.199996948242,931.599975585938,299.600006103516
145.6551407,-17.41010082,"splendida",202.800003051758,58.4799995422363,45.7999992370605,2561.71997070312,259.559997558594,133.360000610352,126.199996948242,227.880004882812,190.880004882812,230.880004882812,167.919998168945,2893.76000976562,523.679992675781,79.7600021362305,65.4000015258789,1396.83996582031,266.760009765625,1077.31994628906,374.600006103516
145.5932466,-17.37316056,"Malanda",199.720001220703,60.8800010681152,47.2000007629395,2562.67993164062,257.320007324219,129.039993286133,128.279998779297,225.320007324219,188.399993896484,228.320007324219,165.199996948242,2465.9599609375,450.959991455078,64.1600036621094,68,1236.56005859375,217.679992675781,972.47998046875,292.760009765625
145.5831088,-17.38712384,"Malanda",198.919998168945,62.4799995422363,47.5999984741211,2574.28002929688,257.320007324219,127.040000915527,130.279998779297,224.119995117188,187.600006103516,227.119995117188,164,2482.36010742188,450.959991455078,65.3600006103516,68.4000015258789,1250.9599609375,219.679992675781,990.47998046875,289.559997558594
145.589435,-17.37673173,"Malanda",199.360000610352,61.6399993896484,47.4000015258789,2568.84008789062,257.359985351562,128.119995117188,129.240005493164,224.759994506836,188,227.759994506836,164.600006103516,2478.080078125,451.679992675781,64.879997253418,68.1999969482422,1245.68005371094,219.039993286133,982.840026855469,291.679992675781
145.5734661,-17.399956,"Malanda",198.399993896484,63.4000015258789,47.7999992370605,2579,257.200012207031,125.800003051758,131.399993896484,223.399993896484,187.199996948242,226.399993896484,163.399993896484,2478.80004882812,448.799987792969,65.5999984741211,68.5999984741211,1252.40002441406,219.600006103516,995.400024414062,286.399993896484
145.6589359,-17.39549373,"Malanda",201.199996948242,57.7999992370605,45.5999984741211,2542.60009765625,257.399993896484,132.600006103516,124.800003051758,226.199996948242,189.199996948242,229.199996948242,166.600006103516,2919,533.799987792969,80.1999969482422,65.5999984741211,1411.40002441406,267.799987792969,1080,380
145.6579302,-17.39646915,"Malanda",201.600006103516,58.4000015258789,45.7999992370605,2547.80004882812,258.200012207031,132.800003051758,125.400001525879,226.600006103516,189.600006103516,229.600006103516,166.800003051758,2832,518.400024414062,77.5999984741211,65.8000030517578,1372.19995117188,259.399993896484,1051,367
145.5966649,-17.39470181,"Malanda",199.600006103516,61.5999984741211,47.2000007629395,2573,257.799987792969,128.199996948242,129.600006103516,224.600006103516,187.800003051758,227.600006103516,164.600006103516,2637.19995117188,478.200012207031,70.4000015258789,67.4000015258789,1313.59997558594,236.399993896484,1032.59997558594,317.600006103516
145.5713458,-17.4004615,"Malanda",198.039993286133,63.5999984741211,47.8400001525879,2581.28002929688,257.040008544922,125.440002441406,131.600006103516,223.240005493164,186.880004882812,226.240005493164,163.039993286133,2514.23999023438,453.880004882812,66.9199981689453,68.2399978637695,1266.80004882812,223.679992675781,1007.32000732422,291.839996337891
145.5995863,-16.80650006,"splendida",222.720001220703,41,40,2302.80004882812,268.559997558594,165.880004882812,102.680000305176,246.360000610352,196.919998168945,247.880004882812,191.720001220703,1750.35998535156,375.559997558594,26.9200000762939,95.3199996948242,1097.16003417969,85.4000015258789,876.47998046875,99.7600021362305
145.5011919,-17.07970947,"splendida",213.440002441406,56.5999984741211,46.4000015258789,2490.15991210938,267.640014648438,145.880004882812,121.76000213623,238.440002441406,187.080001831055,240.839996337891,179.440002441406,1085.76000976562,231.119995117188,17.8400001525879,92,666.599975585938,57.1599998474121,535.080017089844,66.4000015258789
145.4763667,-17.26189058,"eachamensis",198.399993896484,64.5999984741211,49,2538,257,126.400001525879,130.600006103516,224.199996948242,172.199996948242,226.399993896484,164.399993896484,1796,353.600006103516,38.2000007629395,80.5999984741211,1012,129,825.200012207031,153.199996948242
145.4906705,-17.38979235,"eachamensis",192.440002441406,67.4000015258789,49.7999992370605,2581.43994140625,252.240005493164,117,135.240005493164,217.440002441406,168.639999389648,220.440002441406,157.440002441406,2062.84008789062,387.239990234375,50.8800010681152,72.8000030517578,1093.83996582031,170.639999389648,899.760009765625,202.679992675781
145.4955755,-17.38372176,"eachamensis",193.479995727539,67,49.5999984741211,2582.47998046875,253.080001831055,118.400001525879,134.679992675781,218.479995727539,172.880004882812,221.479995727539,158.479995727539,2074.28002929688,387.279998779297,51.560001373291,72.1999969482422,1094.68005371094,173.279998779297,898.119995117188,207.160003662109
145.4854726,-17.3486422,"eachamensis",195.199996948242,66.4000015258789,49.5999984741211,2573.32006835938,255,120.639999389648,134.360000610352,220.399993896484,170.800003051758,223.399993896484,160.240005493164,1944.68005371094,368.480010986328,45.9199981689453,74.8399963378906,1046.23999023438,156,856.640014648438,186.080001831055
145.5578461,-17.33573116,"splendida",200.039993286133,62.2000007629395,48.1199989318848,2566.32006835938,257.920013427734,128.600006103516,129.320007324219,225.600006103516,187.839996337891,228.600006103516,165.119995117188,2026.83996582031,375.320007324219,50.2400016784668,71.2799987792969,1055.43994140625,171.440002441406,845.359985351562,216.199996948242
145.5999997,-17.45107192,"eachamensis",199,62.4000015258789,48,2589.19995117188,258,127.199996948242,130.800003051758,225,188,228,164,2734.39990234375,482.600006103516,76.5999984741211,65.5999984741211,1342,253.199996948242,1066.19995117188,332
