X,Y,splendida,eachamensis,utcheensis,Malanda,Tully
151.1302357,-23.75675473,1,0,0,0,0
148.7,-21.7,1,0,0,0,0
145.6052778,-17.35666666,1,0,0,0,0
145.5927778,-17.15805555,1,0,0,0,0
151.1468878,-23.7800838,1,0,0,0,0
150.2011111,-23.115,1,0,0,0,0
145.4469444,-17.18166666,1,0,0,0,0
145.38333,-17.38333,1,0,0,0,0
145.9177778,-17.19,1,0,0,0,0
149.9233333,-23.17611111,1,0,0,0,0
151.283333,-24.1,1,0,0,0,0
146.816,-19.266,1,0,0,0,0
145.1538889,-15.415,1,0,0,0,0
146.016667,-18.266667,1,0,0,0,0
145.55,-17.09166,1,0,0,0,0
145.636552,-16.804883,1,0,0,0,0
146.7511047,-19.42345228,1,0,0,0,0
150.5921685,-23.11731161,1,0,0,0,0
146.016667,-18.05,1,0,0,0,0
145.716667,-17.183333,1,0,0,0,0
148.3380346,-23.20732674,1,0,0,0,0
150.5344444,-23.34277777,1,0,0,0,0
148.9594444,-21.14416666,1,0,0,0,0
148.9941304,-22.41037978,1,0,0,0,0
145.75,-17.55,1,0,0,0,0
145.2886111,-17.265,1,0,0,0,0
145.416,-17,1,0,0,0,0
145.5552778,-16.98166666,1,0,0,0,0
151.1344022,-23.79008813,1,0,0,0,0
146.166667,-18.65,1,0,0,0,0
145.733333,-16.95,1,0,0,0,0
146.033333,-17.583333,1,0,0,0,0
145.7,-16.933,1,0,0,0,0
151.1571658,-23.81730583,1,0,0,0,0
145.766667,-17.05,1,0,0,0,0
146.816667,-19.316667,1,0,0,0,0
146.716667,-19.5,1,0,0,0,0
150.55,-23.7,1,0,0,0,0
149.116667,-21.116667,1,0,0,0,0
149,-21.116667,1,0,0,0,0
149.266667,-21.383333,1,0,0,0,0
151.118555,-23.78508398,1,0,0,0,0
146.383333,-19.033333,1,0,0,0,0
150.462999,-23.42915,1,0,0,0,0
145.1,-18.666,1,0,0,0,0
145.423333,-16.216667,1,0,0,0,0
146.033333,-17.483333,1,0,0,0,0
144.466,-15.2,1,0,0,0,0
145.6361073,-16.80596748,1,0,0,0,0
146.292744,-19.949308,1,0,0,0,0
151.283333,-24.1,1,0,0,0,0
146.95,-19.4,1,0,0,0,0
143.933333,-14.983333,1,0,0,0,0
145.766667,-16.916667,1,0,0,0,0
151.1010693,-23.79425484,1,0,0,0,0
145.1,-17.233,1,0,0,0,0
145.616667,-17.333333,1,0,0,0,0
150.975833,-23.898611,1,0,0,0,0
150.3606,-22.8563,1,0,0,0,0
146,-17.533333,1,0,0,0,0
150.993056,-23.931389,1,0,0,0,0
146.4491667,-19.09111111,1,0,0,0,0
145.766,-16.916,1,0,0,0,0
150.7677778,-23.05666666,1,0,0,0,0
145.72466,-17.356,1,0,0,0,0
150.034395,-22.63176114,1,0,0,0,0
150.733333,-23.05,1,0,0,0,0
146.3941667,-19.05166667,1,0,0,0,0
148.166667,-22.266667,1,0,0,0,0
145.716667,-17.133333,1,0,0,0,0
145.55,-17.48333,1,0,0,0,0
145.8094138,-16.97347427,1,0,0,0,0
145.58333,-17.36667,1,0,0,0,0
145.883,-19.666,1,0,0,0,0
149.383,-21.7,1,0,0,0,0
145.633333,-17.916667,1,0,0,0,0
143.6945,-15.445333,1,0,0,0,0
145.583333,-17.35,1,0,0,0,0
145.8510809,-17.13180664,1,0,0,0,0
143.6665,-15.4575,1,0,0,0,0
145,-17,1,0,0,0,0
145.833333,-17.133333,1,0,0,0,0
145.666667,-16.983333,1,0,0,0,0
145.56667,-17.48333,1,0,0,0,0
150.116941,-23.089148,1,0,0,0,0
145.58333,-17.45,1,0,0,0,0
147.233,-19.95,1,0,0,0,0
149.306345,-21.584179,1,0,0,0,0
146.7006915,-19.62146458,1,0,0,0,0
143.628833,-15.270167,1,0,0,0,0
149.294243,-21.561192,1,0,0,0,0
143.596333,-15.424333,1,0,0,0,0
143.567333,-15.12,1,0,0,0,0
145.58333,-17.31667,1,0,0,0,0
146.45,-20.017,1,0,0,0,0
148.6511111,-21.25944444,1,0,0,0,0
148.7344444,-21.16222222,1,0,0,0,0
148.7288889,-21.2775,1,0,0,0,0
146.716667,-19.6,1,0,0,0,0
148.665,-21.22194444,1,0,0,0,0
148.7275,-21.1525,1,0,0,0,0
147.991767,-19.9853,1,0,0,0,0
148.8352778,-21.31083333,1,0,0,0,0
147.236173,-19.856821,1,0,0,0,0
148.025067,-19.96995,1,0,0,0,0
148.6858333,-21.22472222,1,0,0,0,0
148.6011111,-21.215,1,0,0,0,0
145.5511111,-17.35388889,1,0,0,0,0
150.38333,-23.65,1,0,0,0,0
150.3024535,-23.49703472,1,0,0,0,0
145.9885845,-18.02346883,1,0,0,0,0
151.1466112,-23.91369454,1,0,0,0,0
148.5,-20.333333,1,0,0,0,0
